mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-137-3p,1.0,1.0,1.0,0,1,0.0,345,26380,0.013078089461713419,0.0
hsa-miR-137-5p,1.0,1.0,1.0,0,1,0.0,71,26380,0.0026914329037149355,0.0
hsa-miR-138-1-3p,1.0,1.0,1.0,0,1,0.0,301,26380,0.011410159211523881,0.0
hsa-miR-138-2-3p,1.0,1.0,1.0,0,1,0.0,629,26380,0.023843821076573162,0.0
hsa-miR-138-5p,1.0,1.0,1.0,0,1,0.0,3919,26380,0.1485595147839272,0.0
hsa-miR-139-3p,1.0,1.0,1.0,0,1,0.0,1116,26380,0.04230477634571645,0.0
hsa-miR-139-5p,1.0,1.0,1.0,0,1,0.0,8056,26380,0.30538286580742985,0.0
hsa-miR-140-3p,1.0,1.0,1.0,0,1,0.0,2185,26380,0.08282789992418499,0.0
hsa-miR-140-5p,1.0,1.0,1.0,0,1,0.0,2090,26380,0.07922668688400303,0.0
hsa-miR-141-3p,1.0,1.0,1.0,0,1,0.0,2004,26380,0.0759666413949962,0.0
hsa-miR-141-5p,1.0,1.0,1.0,0,1,0.0,2962,26380,0.11228203184230477,0.0
hsa-miR-142-3p,1.0,1.0,1.0,0,1,0.0,2143,26380,0.0812357846853677,0.0
hsa-miR-142-5p,1.0,1.0,1.0,0,1,0.0,4736,26380,0.17952994692949203,0.0
hsa-miR-143-3p,1.0,1.0,1.0,0,1,0.0,2246,26380,0.08514025777103866,0.0
hsa-miR-143-5p,1.0,1.0,1.0,0,1,0.0,598,26380,0.02266868840030326,0.0
hsa-miR-144-3p,1.0,1.0,1.0,0,1,0.0,155,26380,0.005875663381349507,0.0
hsa-miR-144-5p,1.0,1.0,1.0,0,1,0.0,657,26380,0.024905231235784687,0.0
hsa-miR-145-3p,1.0,1.0,1.0,0,1,0.0,3037,26380,0.11512509476876422,0.0
hsa-miR-145-5p,1.0,1.0,1.0,0,1,0.0,1322,26380,0.050113722517058375,0.0
hsa-miR-1468-3p,1.0,1.0,1.0,0,1,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-1468-5p,1.0,1.0,1.0,0,1,0.0,198,26380,0.0075056861258529185,0.0
hsa-miR-146a-3p,1.0,1.0,1.0,0,1,0.0,103,26380,0.003904473085670963,0.0
hsa-miR-146a-5p,1.0,1.0,1.0,0,1,0.0,4849,26380,0.18381349507202427,0.0
hsa-miR-146b-3p,1.0,1.0,1.0,0,1,0.0,42,26380,0.001592115238817286,0.0
hsa-miR-146b-5p,1.0,1.0,1.0,0,1,0.0,3118,26380,0.1181956027293404,0.0
hsa-miR-147a,1.0,1.0,1.0,0,1,0.0,2665,26380,0.1010235026535254,0.0
hsa-miR-147b-3p,1.0,1.0,1.0,0,1,0.0,2036,26380,0.07717968157695224,0.0
hsa-miR-148a-3p,1.0,1.0,1.0,0,1,0.0,5941,26380,0.22520849128127368,0.0
hsa-miR-148a-5p,1.0,1.0,1.0,0,1,0.0,2087,26380,0.07911296436694465,0.0
hsa-miR-148b-3p,1.0,1.0,1.0,0,1,0.0,6011,26380,0.2278620166793025,0.0
hsa-miR-148b-5p,1.0,1.0,1.0,0,1,0.0,4522,26380,0.1714177407126611,0.0
hsa-miR-149-3p,1.0,1.0,1.0,0,1,0.0,21,26380,0.000796057619408643,0.0
hsa-miR-149-5p,1.0,1.0,1.0,0,1,0.0,1746,26380,0.06618650492797575,0.0
hsa-miR-150-3p,1.0,1.0,1.0,0,1,0.0,200,26380,0.0075815011372251705,0.0
hsa-miR-150-5p,1.0,1.0,1.0,0,1,0.0,869,26380,0.032941622441243365,0.0
hsa-miR-151a-3p,1.0,1.0,1.0,0,1,0.0,2442,26380,0.09257012888551933,0.0
hsa-miR-151a-5p,1.0,1.0,1.0,0,1,0.0,2922,26380,0.11076573161485974,0.0
hsa-miR-151b,1.0,1.0,1.0,0,1,0.0,2101,26380,0.07964366944655042,0.0
hsa-miR-152-3p,1.0,1.0,1.0,0,1,0.0,3500,26380,0.1326762699014405,0.0
hsa-miR-152-5p,1.0,1.0,1.0,0,1,0.0,498,26380,0.018877937831690676,0.0
hsa-miR-153-3p,1.0,1.0,1.0,0,1,0.0,866,26380,0.032827899924184986,0.0
hsa-miR-153-5p,1.0,1.0,1.0,0,1,0.0,197,26380,0.007467778620166793,0.0
hsa-miR-1537-3p,1.0,1.0,1.0,0,1,0.0,10,26380,0.0003790750568612585,0.0
hsa-miR-1537-5p,1.0,1.0,1.0,0,1,0.0,10,26380,0.0003790750568612585,0.0
hsa-miR-154-3p,1.0,1.0,1.0,0,1,0.0,385,26380,0.014594389689158454,0.0
hsa-miR-154-5p,1.0,1.0,1.0,0,1,0.0,345,26380,0.013078089461713419,0.0
hsa-miR-155-3p,1.0,1.0,1.0,0,1,0.0,109,26380,0.004131918119787718,0.0
hsa-miR-155-5p,1.0,1.0,1.0,0,1,0.0,4379,26380,0.16599696739954511,0.0
hsa-miR-15a-3p,1.0,1.0,1.0,0,1,0.0,1522,26380,0.05769522365428355,0.0
hsa-miR-15a-5p,1.0,1.0,1.0,0,1,0.0,11329,26380,0.42945413191811976,0.0
hsa-miR-15b-3p,1.0,1.0,1.0,0,1,0.0,5488,26380,0.2080363912054587,0.0
hsa-miR-15b-5p,1.0,1.0,1.0,0,1,0.0,9728,26380,0.36876421531463227,0.0
hsa-miR-16-1-3p,1.0,1.0,1.0,0,1,0.0,1709,26380,0.06478392721758908,0.0
hsa-miR-16-2-3p,1.0,1.0,1.0,0,1,0.0,873,26380,0.03309325246398787,0.0
